Nest,NestID,Month,Super,Geo,Sample,mg,Ants,Avg,SA,LT50a, LT50d,Reb_Alkanes,Reb_Alkenes,Reb_Malkanes,Reb_TotalCHCs,X1675,X1700,X1760,X1780,X1800,X1880,X1900,X2000,X2100,X2300,X2500,X2600,X2700,X2731,X2754,X2777,X2800,X2900,X2931,X2938,X2954,X2969,X2977,X3000,X3100,X3125,X3149,X3158,X3167,X3175,X3183,X3192,X3200,X3225,X3258,X3283,X3300,X3309,X3327,X3345,X3355,X3373,X3382,X3391,X3400,X3409,X3427,X3455,X3482,X3491,X3492,X3509,X3527,X3545,X3575,X3578,X3591,X3600,X3620,X3650,X3690,X3697,X3727,X3745,X3764,X3773,X3782,X3800,X3822,X3844,X3927,X3945,SumL,SumAke,SumMo,SumDi,SumTri,SumMAlka,SumCHC,wChain,pL,pAke,pMo,pDi,pTri,pMethyl,pAlkaAlke
Albany Bulb,AB,January,large,north,ABJ1,3.1,18,0.172222222,3.374058618,22.91715411,13.07798409,68.08098078,12.069904,238.5309236,318.6818084,0.367742214,2.46876963,1.230814324,1.776036217,1.761238492,10.3711365,2.967183229,5.589510305,6.281646857,9.276858515,6.212955479,3.176096912,16.42151598,1.811176992,1.84887644,3.720694205,3.017360304,6.384343212,1.681419652,1.331025291,1.217869689,2.015764061,1.792062524,2.176814781,1.467893896,2.962594106,1.315123752,0.864258456,1.156174571,1.556249323,0,0,6.219556845,2.667985325,0.559991751,1.033329488,0.878793193,2.370001531,2.092716414,1.859340061,0,7.250162697,0,0,22.531361,0,5.444011931,1.697756442,1.165654993,1.283342745,1.923103965,4.750994823,4.083336366,4.786544931,13.81039083,0,0,60.2741604,10.9743773,2.434919537,4.428460406,4.303859281,3.144449554,6.002843188,1.71054374,5.249366879,1.088325385,18.37403831,5.781186666,1.934002324,0.748164174,1.603530004,73.18054774,12.06990401,37.29824204,44.04543006,152.0876846,233.4313566,318.6818084,4.539967154,0.229635159,0.037874468,0.117039131,0.13821131,0.477239932,0.732490373,0.267509627
Albany Bulb,AB,January,large,north,ABJ2,3,19,0.157894737,3.184233698,20.17921048,15.48752322,68.08098078,12.069904,238.5309236,318.6818084,0.367742214,2.46876963,1.230814324,1.776036217,1.761238492,10.3711365,2.967183229,5.589510305,6.281646857,9.276858515,6.212955479,3.176096912,16.42151598,1.811176992,1.84887644,3.720694205,3.017360304,6.384343212,1.681419652,1.331025291,1.217869689,2.015764061,1.792062524,2.176814781,1.467893896,2.962594106,1.315123752,0.864258456,1.156174571,1.556249323,0,0,6.219556845,2.667985325,0.559991751,1.033329488,0.878793193,2.370001531,2.092716414,1.859340061,0,7.250162697,0,0,22.531361,0,5.444011931,1.697756442,1.165654993,1.283342745,1.923103965,4.750994823,4.083336366,4.786544931,13.81039083,0,0,60.2741604,10.9743773,2.434919537,4.428460406,4.303859281,3.144449554,6.002843188,1.71054374,5.249366879,1.088325385,18.37403831,5.781186666,1.934002324,0.748164174,1.603530004,73.18054774,12.06990401,37.29824204,44.04543006,152.0876846,233.4313566,318.6818084,4.539967154,0.229635159,0.037874468,0.117039131,0.13821131,0.477239932,0.732490373,0.267509627
Albany Bulb,AB,January,large,north,ABJ3,2.7,19,0.142105263,2.968246332,20.36353572,13.04158852,68.08098078,12.069904,238.5309236,318.6818084,0.367742214,2.46876963,1.230814324,1.776036217,1.761238492,10.3711365,2.967183229,5.589510305,6.281646857,9.276858515,6.212955479,3.176096912,16.42151598,1.811176992,1.84887644,3.720694205,3.017360304,6.384343212,1.681419652,1.331025291,1.217869689,2.015764061,1.792062524,2.176814781,1.467893896,2.962594106,1.315123752,0.864258456,1.156174571,1.556249323,0,0,6.219556845,2.667985325,0.559991751,1.033329488,0.878793193,2.370001531,2.092716414,1.859340061,0,7.250162697,0,0,22.531361,0,5.444011931,1.697756442,1.165654993,1.283342745,1.923103965,4.750994823,4.083336366,4.786544931,13.81039083,0,0,60.2741604,10.9743773,2.434919537,4.428460406,4.303859281,3.144449554,6.002843188,1.71054374,5.249366879,1.088325385,18.37403831,5.781186666,1.934002324,0.748164174,1.603530004,73.18054774,12.06990401,37.29824204,44.04543006,152.0876846,233.4313566,318.6818084,4.539967154,0.229635159,0.037874468,0.117039131,0.13821131,0.477239932,0.732490373,0.267509627
Albany Bulb,AB,January,large,north,ABJ4,2.9,20,0.145,3.008420223,19.88318969,12.58408007,68.08098078,12.069904,238.5309236,318.6818084,0.367742214,2.46876963,1.230814324,1.776036217,1.761238492,10.3711365,2.967183229,5.589510305,6.281646857,9.276858515,6.212955479,3.176096912,16.42151598,1.811176992,1.84887644,3.720694205,3.017360304,6.384343212,1.681419652,1.331025291,1.217869689,2.015764061,1.792062524,2.176814781,1.467893896,2.962594106,1.315123752,0.864258456,1.156174571,1.556249323,0,0,6.219556845,2.667985325,0.559991751,1.033329488,0.878793193,2.370001531,2.092716414,1.859340061,0,7.250162697,0,0,22.531361,0,5.444011931,1.697756442,1.165654993,1.283342745,1.923103965,4.750994823,4.083336366,4.786544931,13.81039083,0,0,60.2741604,10.9743773,2.434919537,4.428460406,4.303859281,3.144449554,6.002843188,1.71054374,5.249366879,1.088325385,18.37403831,5.781186666,1.934002324,0.748164174,1.603530004,73.18054774,12.06990401,37.29824204,44.04543006,152.0876846,233.4313566,318.6818084,4.539967154,0.229635159,0.037874468,0.117039131,0.13821131,0.477239932,0.732490373,0.267509627
Albany Bulb,AB,January,large,north,ABJ5,3.1,20,0.155,3.145195387,18.74444163,16.2160717,68.08098078,12.069904,238.5309236,318.6818084,0.367742214,2.46876963,1.230814324,1.776036217,1.761238492,10.3711365,2.967183229,5.589510305,6.281646857,9.276858515,6.212955479,3.176096912,16.42151598,1.811176992,1.84887644,3.720694205,3.017360304,6.384343212,1.681419652,1.331025291,1.217869689,2.015764061,1.792062524,2.176814781,1.467893896,2.962594106,1.315123752,0.864258456,1.156174571,1.556249323,0,0,6.219556845,2.667985325,0.559991751,1.033329488,0.878793193,2.370001531,2.092716414,1.859340061,0,7.250162697,0,0,22.531361,0,5.444011931,1.697756442,1.165654993,1.283342745,1.923103965,4.750994823,4.083336366,4.786544931,13.81039083,0,0,60.2741604,10.9743773,2.434919537,4.428460406,4.303859281,3.144449554,6.002843188,1.71054374,5.249366879,1.088325385,18.37403831,5.781186666,1.934002324,0.748164174,1.603530004,73.18054774,12.06990401,37.29824204,44.04543006,152.0876846,233.4313566,318.6818084,4.539967154,0.229635159,0.037874468,0.117039131,0.13821131,0.477239932,0.732490373,0.267509627
Albany Bulb,AB,January,large,north,ABJ6,2.4,19,0.126315789,2.744089407,22.51747046,11.96440671,68.08098078,12.069904,238.5309236,318.6818084,0.367742214,2.46876963,1.230814324,1.776036217,1.761238492,10.3711365,2.967183229,5.589510305,6.281646857,9.276858515,6.212955479,3.176096912,16.42151598,1.811176992,1.84887644,3.720694205,3.017360304,6.384343212,1.681419652,1.331025291,1.217869689,2.015764061,1.792062524,2.176814781,1.467893896,2.962594106,1.315123752,0.864258456,1.156174571,1.556249323,0,0,6.219556845,2.667985325,0.559991751,1.033329488,0.878793193,2.370001531,2.092716414,1.859340061,0,7.250162697,0,0,22.531361,0,5.444011931,1.697756442,1.165654993,1.283342745,1.923103965,4.750994823,4.083336366,4.786544931,13.81039083,0,0,60.2741604,10.9743773,2.434919537,4.428460406,4.303859281,3.144449554,6.002843188,1.71054374,5.249366879,1.088325385,18.37403831,5.781186666,1.934002324,0.748164174,1.603530004,73.18054774,12.06990401,37.29824204,44.04543006,152.0876846,233.4313566,318.6818084,4.539967154,0.229635159,0.037874468,0.117039131,0.13821131,0.477239932,0.732490373,0.267509627
Albany Bulb,AB,January,large,north,ABJ7,3.1,20,0.155,3.145195387,18.07732854,13.55609115,68.08098078,12.069904,238.5309236,318.6818084,0.367742214,2.46876963,1.230814324,1.776036217,1.761238492,10.3711365,2.967183229,5.589510305,6.281646857,9.276858515,6.212955479,3.176096912,16.42151598,1.811176992,1.84887644,3.720694205,3.017360304,6.384343212,1.681419652,1.331025291,1.217869689,2.015764061,1.792062524,2.176814781,1.467893896,2.962594106,1.315123752,0.864258456,1.156174571,1.556249323,0,0,6.219556845,2.667985325,0.559991751,1.033329488,0.878793193,2.370001531,2.092716414,1.859340061,0,7.250162697,0,0,22.531361,0,5.444011931,1.697756442,1.165654993,1.283342745,1.923103965,4.750994823,4.083336366,4.786544931,13.81039083,0,0,60.2741604,10.9743773,2.434919537,4.428460406,4.303859281,3.144449554,6.002843188,1.71054374,5.249366879,1.088325385,18.37403831,5.781186666,1.934002324,0.748164174,1.603530004,73.18054774,12.06990401,37.29824204,44.04543006,152.0876846,233.4313566,318.6818084,4.539967154,0.229635159,0.037874468,0.117039131,0.13821131,0.477239932,0.732490373,0.267509627
Albany Bulb,AB,January,large,north,ABJ8,2.7,20,0.135,2.868461401,20.13077304,12.64659071,68.08098078,12.069904,238.5309236,318.6818084,0.367742214,2.46876963,1.230814324,1.776036217,1.761238492,10.3711365,2.967183229,5.589510305,6.281646857,9.276858515,6.212955479,3.176096912,16.42151598,1.811176992,1.84887644,3.720694205,3.017360304,6.384343212,1.681419652,1.331025291,1.217869689,2.015764061,1.792062524,2.176814781,1.467893896,2.962594106,1.315123752,0.864258456,1.156174571,1.556249323,0,0,6.219556845,2.667985325,0.559991751,1.033329488,0.878793193,2.370001531,2.092716414,1.859340061,0,7.250162697,0,0,22.531361,0,5.444011931,1.697756442,1.165654993,1.283342745,1.923103965,4.750994823,4.083336366,4.786544931,13.81039083,0,0,60.2741604,10.9743773,2.434919537,4.428460406,4.303859281,3.144449554,6.002843188,1.71054374,5.249366879,1.088325385,18.37403831,5.781186666,1.934002324,0.748164174,1.603530004,73.18054774,12.06990401,37.29824204,44.04543006,152.0876846,233.4313566,318.6818084,4.539967154,0.229635159,0.037874468,0.117039131,0.13821131,0.477239932,0.732490373,0.267509627
Albany Bulb,AB,January,large,north,ABJ9,2.7,20,0.135,2.868461401,18.66362462,14.2526475,68.08098078,12.069904,238.5309236,318.6818084,0.367742214,2.46876963,1.230814324,1.776036217,1.761238492,10.3711365,2.967183229,5.589510305,6.281646857,9.276858515,6.212955479,3.176096912,16.42151598,1.811176992,1.84887644,3.720694205,3.017360304,6.384343212,1.681419652,1.331025291,1.217869689,2.015764061,1.792062524,2.176814781,1.467893896,2.962594106,1.315123752,0.864258456,1.156174571,1.556249323,0,0,6.219556845,2.667985325,0.559991751,1.033329488,0.878793193,2.370001531,2.092716414,1.859340061,0,7.250162697,0,0,22.531361,0,5.444011931,1.697756442,1.165654993,1.283342745,1.923103965,4.750994823,4.083336366,4.786544931,13.81039083,0,0,60.2741604,10.9743773,2.434919537,4.428460406,4.303859281,3.144449554,6.002843188,1.71054374,5.249366879,1.088325385,18.37403831,5.781186666,1.934002324,0.748164174,1.603530004,73.18054774,12.06990401,37.29824204,44.04543006,152.0876846,233.4313566,318.6818084,4.539967154,0.229635159,0.037874468,0.117039131,0.13821131,0.477239932,0.732490373,0.267509627
Albany Bulb,AB,January,large,north,ABJ10,3.1,20,0.155,3.145195387,15.27091914,16.41299065,68.08098078,12.069904,238.5309236,318.6818084,0.367742214,2.46876963,1.230814324,1.776036217,1.761238492,10.3711365,2.967183229,5.589510305,6.281646857,9.276858515,6.212955479,3.176096912,16.42151598,1.811176992,1.84887644,3.720694205,3.017360304,6.384343212,1.681419652,1.331025291,1.217869689,2.015764061,1.792062524,2.176814781,1.467893896,2.962594106,1.315123752,0.864258456,1.156174571,1.556249323,0,0,6.219556845,2.667985325,0.559991751,1.033329488,0.878793193,2.370001531,2.092716414,1.859340061,0,7.250162697,0,0,22.531361,0,5.444011931,1.697756442,1.165654993,1.283342745,1.923103965,4.750994823,4.083336366,4.786544931,13.81039083,0,0,60.2741604,10.9743773,2.434919537,4.428460406,4.303859281,3.144449554,6.002843188,1.71054374,5.249366879,1.088325385,18.37403831,5.781186666,1.934002324,0.748164174,1.603530004,73.18054774,12.06990401,37.29824204,44.04543006,152.0876846,233.4313566,318.6818084,4.539967154,0.229635159,0.037874468,0.117039131,0.13821131,0.477239932,0.732490373,0.267509627
Davis,DA,April,large,north,DAA1,3.3,20,0.165,3.279058218,31.01624866,13.5344137,69.9604809,13.24569944,314.93508,398.1412603,0.79021922,5.634821083,1.282847608,1.578594276,1.696402325,11.88609677,4.557692495,4.524593058,5.009705816,7.150831375,6.074800788,3.000470742,17.18870577,1.594417303,1.700481508,4.945966171,3.06592666,6.544425297,1.720838512,1.030793075,1.334421751,2.580577746,1.812718388,1.621389385,1.340567426,3.830020423,2.560137618,1.731489893,1.311083621,2.509390098,0,0,8.654310198,4.112311487,1.294577343,1.783218279,1.050725577,2.06159473,4.021178628,3.403753951,0,13.18921608,0,0,39.45170519,0,8.744823737,2.106325106,2.104920362,2.397500983,3.253413555,8.657033676,7.79982668,9.502927233,23.91812199,0,0,112.2489398,25.38049108,5.349882907,7.085700268,8.716968802,6.600915889,13.55413633,3.034713338,10.92390901,2.338281373,42.57437691,13.67871027,4.628571805,2.018697209,4.139758732,75.34367831,13.70710907,59.13834536,80.63527017,292.5675618,432.3411773,521.3919647,7.728448329,0.14450487,0.026289452,0.113423968,0.154653841,0.561127868,0.829205677,0.170794323
Davis,DA,April,large,north,DAA2,3.2,20,0.16,3.212475467,35.46206583,11.08590998,69.9604809,13.24569944,314.93508,398.1412603,0.79021922,5.634821083,1.282847608,1.578594276,1.696402325,11.88609677,4.557692495,4.524593058,5.009705816,7.150831375,6.074800788,3.000470742,17.18870577,1.594417303,1.700481508,4.945966171,3.06592666,6.544425297,1.720838512,1.030793075,1.334421751,2.580577746,1.812718388,1.621389385,1.340567426,3.830020423,2.560137618,1.731489893,1.311083621,2.509390098,0,0,8.654310198,4.112311487,1.294577343,1.783218279,1.050725577,2.06159473,4.021178628,3.403753951,0,13.18921608,0,0,39.45170519,0,8.744823737,2.106325106,2.104920362,2.397500983,3.253413555,8.657033676,7.79982668,9.502927233,23.91812199,0,0,112.2489398,25.38049108,5.349882907,7.085700268,8.716968802,6.600915889,13.55413633,3.034713338,10.92390901,2.338281373,42.57437691,13.67871027,4.628571805,2.018697209,4.139758732,75.34367831,13.70710907,59.13834536,80.63527017,292.5675618,432.3411773,521.3919647,7.728448329,0.14450487,0.026289452,0.113423968,0.154653841,0.561127868,0.829205677,0.170794323
Davis,DA,April,large,north,DAA3,2.8,20,0.14,2.938857455,33.4604356,12.23458527,69.9604809,13.24569944,314.93508,398.1412603,0.79021922,5.634821083,1.282847608,1.578594276,1.696402325,11.88609677,4.557692495,4.524593058,5.009705816,7.150831375,6.074800788,3.000470742,17.18870577,1.594417303,1.700481508,4.945966171,3.06592666,6.544425297,1.720838512,1.030793075,1.334421751,2.580577746,1.812718388,1.621389385,1.340567426,3.830020423,2.560137618,1.731489893,1.311083621,2.509390098,0,0,8.654310198,4.112311487,1.294577343,1.783218279,1.050725577,2.06159473,4.021178628,3.403753951,0,13.18921608,0,0,39.45170519,0,8.744823737,2.106325106,2.104920362,2.397500983,3.253413555,8.657033676,7.79982668,9.502927233,23.91812199,0,0,112.2489398,25.38049108,5.349882907,7.085700268,8.716968802,6.600915889,13.55413633,3.034713338,10.92390901,2.338281373,42.57437691,13.67871027,4.628571805,2.018697209,4.139758732,75.34367831,13.70710907,59.13834536,80.63527017,292.5675618,432.3411773,521.3919647,7.728448329,0.14450487,0.026289452,0.113423968,0.154653841,0.561127868,0.829205677,0.170794323
Davis,DA,April,large,north,DAA4,2.9,20,0.145,3.008420223,29.31519219,13.22157242,69.9604809,13.24569944,314.93508,398.1412603,0.79021922,5.634821083,1.282847608,1.578594276,1.696402325,11.88609677,4.557692495,4.524593058,5.009705816,7.150831375,6.074800788,3.000470742,17.18870577,1.594417303,1.700481508,4.945966171,3.06592666,6.544425297,1.720838512,1.030793075,1.334421751,2.580577746,1.812718388,1.621389385,1.340567426,3.830020423,2.560137618,1.731489893,1.311083621,2.509390098,0,0,8.654310198,4.112311487,1.294577343,1.783218279,1.050725577,2.06159473,4.021178628,3.403753951,0,13.18921608,0,0,39.45170519,0,8.744823737,2.106325106,2.104920362,2.397500983,3.253413555,8.657033676,7.79982668,9.502927233,23.91812199,0,0,112.2489398,25.38049108,5.349882907,7.085700268,8.716968802,6.600915889,13.55413633,3.034713338,10.92390901,2.338281373,42.57437691,13.67871027,4.628571805,2.018697209,4.139758732,75.34367831,13.70710907,59.13834536,80.63527017,292.5675618,432.3411773,521.3919647,7.728448329,0.14450487,0.026289452,0.113423968,0.154653841,0.561127868,0.829205677,0.170794323
Davis,DA,April,large,north,DAA5,2.8,20,0.14,2.938857455,32.77988198,9.409389699,69.9604809,13.24569944,314.93508,398.1412603,0.79021922,5.634821083,1.282847608,1.578594276,1.696402325,11.88609677,4.557692495,4.524593058,5.009705816,7.150831375,6.074800788,3.000470742,17.18870577,1.594417303,1.700481508,4.945966171,3.06592666,6.544425297,1.720838512,1.030793075,1.334421751,2.580577746,1.812718388,1.621389385,1.340567426,3.830020423,2.560137618,1.731489893,1.311083621,2.509390098,0,0,8.654310198,4.112311487,1.294577343,1.783218279,1.050725577,2.06159473,4.021178628,3.403753951,0,13.18921608,0,0,39.45170519,0,8.744823737,2.106325106,2.104920362,2.397500983,3.253413555,8.657033676,7.79982668,9.502927233,23.91812199,0,0,112.2489398,25.38049108,5.349882907,7.085700268,8.716968802,6.600915889,13.55413633,3.034713338,10.92390901,2.338281373,42.57437691,13.67871027,4.628571805,2.018697209,4.139758732,75.34367831,13.70710907,59.13834536,80.63527017,292.5675618,432.3411773,521.3919647,7.728448329,0.14450487,0.026289452,0.113423968,0.154653841,0.561127868,0.829205677,0.170794323
Davis,DA,April,large,north,DAA6,3.3,20,0.165,3.279058218,18.2854863,11.99192651,69.9604809,13.24569944,314.93508,398.1412603,0.79021922,5.634821083,1.282847608,1.578594276,1.696402325,11.88609677,4.557692495,4.524593058,5.009705816,7.150831375,6.074800788,3.000470742,17.18870577,1.594417303,1.700481508,4.945966171,3.06592666,6.544425297,1.720838512,1.030793075,1.334421751,2.580577746,1.812718388,1.621389385,1.340567426,3.830020423,2.560137618,1.731489893,1.311083621,2.509390098,0,0,8.654310198,4.112311487,1.294577343,1.783218279,1.050725577,2.06159473,4.021178628,3.403753951,0,13.18921608,0,0,39.45170519,0,8.744823737,2.106325106,2.104920362,2.397500983,3.253413555,8.657033676,7.79982668,9.502927233,23.91812199,0,0,112.2489398,25.38049108,5.349882907,7.085700268,8.716968802,6.600915889,13.55413633,3.034713338,10.92390901,2.338281373,42.57437691,13.67871027,4.628571805,2.018697209,4.139758732,75.34367831,13.70710907,59.13834536,80.63527017,292.5675618,432.3411773,521.3919647,7.728448329,0.14450487,0.026289452,0.113423968,0.154653841,0.561127868,0.829205677,0.170794323
Davis,DA,April,large,north,DAA7,3.1,20,0.155,3.145195387,26.06001349,10.70979959,69.9604809,13.24569944,314.93508,398.1412603,0.79021922,5.634821083,1.282847608,1.578594276,1.696402325,11.88609677,4.557692495,4.524593058,5.009705816,7.150831375,6.074800788,3.000470742,17.18870577,1.594417303,1.700481508,4.945966171,3.06592666,6.544425297,1.720838512,1.030793075,1.334421751,2.580577746,1.812718388,1.621389385,1.340567426,3.830020423,2.560137618,1.731489893,1.311083621,2.509390098,0,0,8.654310198,4.112311487,1.294577343,1.783218279,1.050725577,2.06159473,4.021178628,3.403753951,0,13.18921608,0,0,39.45170519,0,8.744823737,2.106325106,2.104920362,2.397500983,3.253413555,8.657033676,7.79982668,9.502927233,23.91812199,0,0,112.2489398,25.38049108,5.349882907,7.085700268,8.716968802,6.600915889,13.55413633,3.034713338,10.92390901,2.338281373,42.57437691,13.67871027,4.628571805,2.018697209,4.139758732,75.34367831,13.70710907,59.13834536,80.63527017,292.5675618,432.3411773,521.3919647,7.728448329,0.14450487,0.026289452,0.113423968,0.154653841,0.561127868,0.829205677,0.170794323
Davis,DA,April,large,north,DAA8,3.3,21,0.157142857,3.174116976,15.91613634,14.6741103,69.9604809,13.24569944,314.93508,398.1412603,0.79021922,5.634821083,1.282847608,1.578594276,1.696402325,11.88609677,4.557692495,4.524593058,5.009705816,7.150831375,6.074800788,3.000470742,17.18870577,1.594417303,1.700481508,4.945966171,3.06592666,6.544425297,1.720838512,1.030793075,1.334421751,2.580577746,1.812718388,1.621389385,1.340567426,3.830020423,2.560137618,1.731489893,1.311083621,2.509390098,0,0,8.654310198,4.112311487,1.294577343,1.783218279,1.050725577,2.06159473,4.021178628,3.403753951,0,13.18921608,0,0,39.45170519,0,8.744823737,2.106325106,2.104920362,2.397500983,3.253413555,8.657033676,7.79982668,9.502927233,23.91812199,0,0,112.2489398,25.38049108,5.349882907,7.085700268,8.716968802,6.600915889,13.55413633,3.034713338,10.92390901,2.338281373,42.57437691,13.67871027,4.628571805,2.018697209,4.139758732,75.34367831,13.70710907,59.13834536,80.63527017,292.5675618,432.3411773,521.3919647,7.728448329,0.14450487,0.026289452,0.113423968,0.154653841,0.561127868,0.829205677,0.170794323
Davis,DA,April,large,north,DAA9,3,20,0.15,3.077187814,26.45192789,9.341294609,69.9604809,13.24569944,314.93508,398.1412603,0.79021922,5.634821083,1.282847608,1.578594276,1.696402325,11.88609677,4.557692495,4.524593058,5.009705816,7.150831375,6.074800788,3.000470742,17.18870577,1.594417303,1.700481508,4.945966171,3.06592666,6.544425297,1.720838512,1.030793075,1.334421751,2.580577746,1.812718388,1.621389385,1.340567426,3.830020423,2.560137618,1.731489893,1.311083621,2.509390098,0,0,8.654310198,4.112311487,1.294577343,1.783218279,1.050725577,2.06159473,4.021178628,3.403753951,0,13.18921608,0,0,39.45170519,0,8.744823737,2.106325106,2.104920362,2.397500983,3.253413555,8.657033676,7.79982668,9.502927233,23.91812199,0,0,112.2489398,25.38049108,5.349882907,7.085700268,8.716968802,6.600915889,13.55413633,3.034713338,10.92390901,2.338281373,42.57437691,13.67871027,4.628571805,2.018697209,4.139758732,75.34367831,13.70710907,59.13834536,80.63527017,292.5675618,432.3411773,521.3919647,7.728448329,0.14450487,0.026289452,0.113423968,0.154653841,0.561127868,0.829205677,0.170794323
Davis,DA,April,large,north,DAA10,3.3,20,0.165,3.279058218,30.88058578,11.29543294,69.9604809,13.24569944,314.93508,398.1412603,0.79021922,5.634821083,1.282847608,1.578594276,1.696402325,11.88609677,4.557692495,4.524593058,5.009705816,7.150831375,6.074800788,3.000470742,17.18870577,1.594417303,1.700481508,4.945966171,3.06592666,6.544425297,1.720838512,1.030793075,1.334421751,2.580577746,1.812718388,1.621389385,1.340567426,3.830020423,2.560137618,1.731489893,1.311083621,2.509390098,0,0,8.654310198,4.112311487,1.294577343,1.783218279,1.050725577,2.06159473,4.021178628,3.403753951,0,13.18921608,0,0,39.45170519,0,8.744823737,2.106325106,2.104920362,2.397500983,3.253413555,8.657033676,7.79982668,9.502927233,23.91812199,0,0,112.2489398,25.38049108,5.349882907,7.085700268,8.716968802,6.600915889,13.55413633,3.034713338,10.92390901,2.338281373,42.57437691,13.67871027,4.628571805,2.018697209,4.139758732,75.34367831,13.70710907,59.13834536,80.63527017,292.5675618,432.3411773,521.3919647,7.728448329,0.14450487,0.026289452,0.113423968,0.154653841,0.561127868,0.829205677,0.170794323
